BoroCT2010,count
3119400,1075
3119600,1320
3119800,803
3120000,867
3120200,679
3120800,1204
3121000,1856
3121400,1475
3122000,526
3123700,392
3150200,132
3152200,367
4000100,529
4000200,340
4000400,383
4000600,556
4000700,1020
4000800,197
4001000,481
4001200,284
4001400,529
4001600,348
4001800,513
4001900,990
4002000,126
4002200,374
4002400,332
4002500,1827
4002600,308
4002800,210
4003000,127
4003100,479
4003200,275
4003300,914
4003400,300
4003600,272
4003700,102
4003800,333
4003900,246
4004001,275
4004002,645
4004200,475
4004300,785
4004401,402
4004500,397
4004700,615
4005000,206
4005100,450
4005200,398
4005300,431
4005400,462
4005500,385
4005700,368
4005800,439
4005900,597
4006100,437
4006201,635
4006202,831
4006300,507
4006501,304
4006502,530
4006900,306
4007100,422
4007300,421
4007500,380
4007700,401
4007900,291
4008100,343
4008300,529
4008500,225
4008600,427
4008700,1002
4008800,548
4009100,290
4009400,610
4009500,195
4009600,415
4009700,208
4009800,490
4009900,100
4010000,1157
4010100,202
4010200,774
4010300,384
4010400,265
4010500,331
4010600,933
4010800,394
4011000,402
4011100,269
4011200,456
4011300,487
4011400,432
4011500,476
4011600,283
4011700,407
4011800,412
4011900,208
4012000,653
4012100,284
4012200,418
4012301,269
4012400,386
4012500,723
4012601,415
4012602,305
4012800,187
4013000,176
4013200,387
4013400,413
4013500,210
4013600,191
4013700,97
4013800,155
4014000,189
4014100,181
4014201,668
4014202,545
4014300,605
4014400,437
4014500,392
4014700,196
4014800,218
4014900,658
4015000,169
4015100,298
4015200,550
4015300,307
4015400,229
4015500,708
4015600,335
4015700,574
4015801,482
4015802,779
4015900,512
4016100,1010
4016300,776
4016400,496
4016600,446
4016800,341
4016900,374
4017000,260
4017100,67
4017200,241
4017400,210
4017600,215
4017800,325
4017900,803
4018000,513
4018101,537
4018102,370
4018200,358
4018300,557
4018401,605
4018402,524
4018501,231
4018502,380
4018600,194
4018700,130
4018800,161
4018900,352
4019000,651
4019200,286
4019400,437
4019600,537
4019800,568
4019900,514
4020200,399
4020400,692
4020500,246
4020600,417
4020800,880
4021200,1140
4021400,803
4021600,353
4021900,113
4022001,461
4022002,345
4022900,93
4023000,238
4023200,276
4023500,675
