BoroCT2010,boro,center_x,center_y
3081800,3081800,-73.94797520897626,40.65309239579645
3082400,3082400,-73.94935796627351,40.64884750006475
3082600,3082600,-73.94897266754937,40.64506483818526
3082800,3082800,-73.94960327310676,40.640995360782945
3083200,3083200,-73.94162415150659,40.641523911402494
3083600,3083600,-73.93512749970547,40.63710287851247
3083800,3083800,-73.93513524152591,40.641756124077766
3084000,3084000,-73.93129227541759,40.64199431961059
3084600,3084600,-73.92746976857306,40.64227934145403
3084800,3084800,-73.92786091247122,40.646426911570686
3085000,3085000,-73.93231599591121,40.64574336856975
3085600,3085600,-73.9448274523022,40.64862472426834
3086000,3086000,-73.9329234568966,40.649995500512006
3086200,3086200,-73.92822570483936,40.65021630277785
3086400,3086400,-73.92385009820532,40.65434006363086
3086600,3086600,-73.92676207464245,40.6563747873649
3086800,3086800,-73.92973086887078,40.654312730755976
3087000,3087000,-73.93340383473192,40.654180168088395
3087200,3087200,-73.93664965569769,40.65367544653545
3087401,3087401,-73.93845866245015,40.66047432386179
3087600,3087600,-73.93570570512462,40.66064780096301
3087800,3087800,-73.93103388392554,40.65884654972976
3088200,3088200,-73.92598148355093,40.660493952176864
3088400,3088400,-73.92455040731075,40.662228255520056
3088600,3088600,-73.92067636495524,40.65748822487913
3088800,3088800,-73.91809111007473,40.653940049656775
3089000,3089000,-73.91549482095233,40.656989563567585
3089400,3089400,-73.91648521892863,40.66150405812923
3089600,3089600,-73.91240944082037,40.65800495655302
3089800,3089800,-73.913707958571,40.6627863437016
3090200,3090200,-73.91500761537483,40.667553191671644
3090600,3090600,-73.90885969002326,40.67013025024671
3091600,3091600,-73.90910124633872,40.65910391591233
3091800,3091800,-73.90458558387884,40.66165261255274
3092000,3092000,-73.90298449523348,40.65856427796027
3092200,3092200,-73.90634797907428,40.655239460470945
3092400,3092400,-73.91147960918506,40.666933097026295
3092800,3092800,-73.91177481328054,40.652479286327036
3093000,3093000,-73.91540726651274,40.649929220001674
3093800,3093800,-73.924557868534,40.65044726589662
3095400,3095400,-73.914632623438,40.63896668634991
3095600,3095600,-73.91091820329805,40.635574163355855
3095800,3095800,-73.91168636538052,40.64082269708954
3096400,3096400,-73.90726862837745,40.64195003578699
3096600,3096600,-73.90314184592408,40.6406400639524
