BoroCT2010,count
3084800,377
3085000,171
3085200,22
3085400,307
3085600,758
3085800,407
3086000,551
3086200,832
3086400,532
3086600,480
3086800,563
3087000,387
3087200,323
3087401,934
3087600,495
3087800,587
3088000,674
3088200,936
3088400,868
3088600,1102
3088800,557
3089000,1039
3089200,1303
3089400,1047
3089600,788
3089800,676
3090000,1121
3090200,1188
3090600,1530
3090800,1674
3091000,1632
3091200,3203
3091600,1357
3091800,824
3092000,1018
3092200,648
3092400,1029
3092800,579
3093000,314
3093200,304
3093400,265
3093600,394
3093800,424
3094401,472
3094402,977
3094600,442
3095000,614
3095400,619
3095600,922
3095800,459
3096000,167
3096200,344
3096400,467
3096600,314
3096800,908
3097000,554
3097400,701
3098200,1576
3098400,452
3098600,403
3098800,595
3099000,247
3099200,227
3099400,376
3099600,438
3099800,188
3100400,453
3100600,288
3100800,267
3101000,250
3101200,338
3101400,208
3101600,96
3101800,131
3102000,295
3102200,865
3102400,375
3102600,392
3102800,134
3103400,675
3105801,951
3105804,700
3107000,1122
3107800,481
3109800,227
3110400,1458
3110600,1554
3111000,959
3111600,367
3111800,934
3112000,975
3112200,1003
3112400,730
3112600,1140
3112800,1378
3113000,904
3113200,686
3113400,1075
3114201,409
3114202,437
3114400,1046
3114600,787
3115000,663
3115200,1575
3115600,1592
3115800,699
3116000,544
3116200,460
3116400,644
3116600,934
3116800,541
3117000,576
3117201,519
3117202,683
3117400,853
3117601,490
3117602,393
3117800,384
3118000,71
3118201,402
3118202,824
3118400,846
3118600,589
3118800,869
3119000,881
3119200,752
3119400,1042
3119600,1256
3119800,771
3120000,678
3120200,570
3120800,1127
3121000,1617
3121400,1464
3122000,414
3123700,480
3150200,193
3152200,311
4000100,863
4000200,364
4000400,460
4000600,679
4000700,787
4000800,264
4001000,557
4001200,357
4001400,512
4001600,466
4001800,449
4001900,1212
4002000,179
4002200,384
4002400,387
4002500,2015
4002600,250
4002800,273
4003000,134
4003100,542
4003200,296
4003300,869
4003400,287
4003600,266
4003700,178
4003800,339
4003900,239
4004001,336
4004002,719
4004200,487
4004300,736
4004401,579
4004500,444
4004700,655
4005000,199
4005100,482
4005200,482
4005300,527
4005400,578
4005500,455
4005700,461
4005800,568
4005900,535
4006100,449
4006201,740
4006202,888
4006300,650
4006501,388
4006502,524
4006900,312
4007100,427
4007300,458
4007500,526
4007700,520
4007900,341
4008100,330
4008300,425
4008500,260
4008600,502
4008700,986
4008800,563
4009100,307
4009400,840
4009500,225
4009600,435
4009700,175
4009800,578
4009900,88
4010000,417
4010100,220
4010200,778
4010300,401
4010400,282
4010500,356
4010600,1041
4010800,408
4011000,411
4011100,286
4011200,343
4011300,535
4011400,394
4011500,505
4011600,315
4011700,345
4011800,492
4011900,202
4012000,732
4012100,315
4012200,323
4012301,258
4012400,508
4012500,504
4012601,432
4012602,325
4012800,207
4013000,181
4013200,428
4013400,412
4013500,204
4013600,241
4013700,115
4013800,190
4014000,261
4014100,200
4014201,647
4014202,427
4014300,383
4014400,473
4014500,273
4014700,228
4014800,251
4014900,468
4015000,167
4015100,266
4015200,717
4015300,319
4015400,316
4015500,755
4015600,378
4015700,842
4015801,597
4015802,683
4015900,556
4016100,1161
4016300,784
4016400,561
4016600,526
4016800,451
4016900,453
4017000,277
4017100,147
4017200,277
4017400,225
4017600,311
4017800,408
4017900,1022
4018000,578
4018101,586
4018102,388
4018200,495
4018300,709
4018401,746
4018402,650
4018501,279
4018502,487
4018600,237
4018700,133
4018800,198
4018900,470
4019000,552
4019200,298
4019400,320
4019600,601
4019800,567
4019900,516
4020200,365
4020400,797
4020500,299
4020600,335
4020800,999
4021200,842
4021400,1016
4021600,377
4021900,157
4022001,572
4022002,436
4022900,85
4023000,290
4023200,359
4023500,749
4023600,590
4023800,788
4024000,1069
4024300,250
4024500,273
4024600,751
4024700,469
4024900,791
4025100,509
4025301,597
4025302,402
4025400,1437
4025500,381
4025700,259
4025800,1046
4025900,315
4026000,602
4026100,464
4026200,269
4026300,668
4026400,282
4026500,1140
4026600,301
4026700,1159
4026901,1107
4026902,627
4027000,330
4027100,377
4027200,512
4027300,1051
4027400,314
4027500,624
4027600,386
4027700,730
4027800,677
4027900,474
4028000,325
4028100,531
4028200,488
4028300,848
4028400,928
4028500,427
4028700,585
4028800,532
4028900,698
4029100,670
4029300,519
4029400,880
4029500,570
4029700,371
4029900,133
4030600,774
4030902,653
4030903,593
4030904,451
4031700,577
4032000,1071
4032700,691
4032800,545
4032900,584
4033000,971
4033100,176
4033401,521
4033402,1503
4033700,532
4033900,550
4034700,960
4035100,608
4035200,965
4035300,404
4035700,600
4035800,517
4036100,608
4036300,356
4036500,536
4036600,413
4036700,388
4036800,366
4037100,276
4037300,380
4037500,836
4037600,441
4037700,807
4037900,913
4038100,766
4038301,693
4038302,46
4038400,518
4039400,319
4039800,420
4039900,501
4040000,169
4040100,557
4040200,170
4040300,613
4040400,435
4040500,1286
4040700,519
4040900,596
4041100,610
4041300,515
4041400,451
4041500,549
4042400,185
4042600,4
4042700,477
4043200,238
4043400,327
4043701,455
4043702,464
4043900,365
4044000,635
4044301,434
4044302,307
4044400,450
4044601,2848
4044602,1039
4044800,332
4045000,305
4045200,273
4045400,613
4045500,781
4045600,254
4045700,221
4045800,234
4045900,189
4046000,2190
4046100,269
4046200,1149
4046300,276
4046400,148
4046500,681
4046600,370
4046700,732
4046800,641
4046900,743
4047000,619
4047100,608
4047200,270
4047300,543
4047500,997
4047600,134
4047800,258
4047900,431
4048000,551
4048100,441
4048200,467
4048300,593
4048400,436
4048500,573
4048900,329
4049200,623
4049301,176
4049302,385
4049500,132
4049600,530
4049700,248
4049900,277
4050000,368
4050201,277
4050202,194
4050400,244
4050500,300
4050600,243
4050700,136
4050800,321
4051000,214
4051100,165
4051200,400
4051300,243
4051500,253
4051600,250
4051700,282
4051800,279
4052000,242
4052100,249
4052200,163
4052400,229
4052500,284
4052600,263
4052800,353
4053000,463
4053100,475
4053200,244
4053401,349
4053500,428
4053601,239
4053800,300
4053900,447
4054000,565
4054200,453
4054500,643
4054700,584
4054800,323
4054900,688
4055100,934
4055200,214
4055300,638
4055400,272
4055500,508
4055600,308
4055700,587
4055800,210
4055900,284
4056000,264
4056100,71
4056200,126
4056400,229
4056500,336
4056600,348
4056700,315
4056800,602
4057700,494
4057900,295
4058000,393
4058100,553
4058200,346
4058300,392
4058500,389
4058700,480
4058900,727
4059000,227
4059100,689
4059200,125
4059300,357
4059400,106
4059500,634
4059600,165
4059800,178
4059900,190
4060000,136
4060100,259
4060300,362
4060600,168
4060701,33
4060800,315
4061000,131
4061200,113
4061301,497
4061400,143
4061601,124
4061602,220
4061800,273
4061900,242
4062000,123
4062100,418
4062200,172
4062300,246
4062400,29
4062500,222
4062600,363
4062700,299
4062900,335
4063000,309
4063200,262
4063301,178
4063302,172
4063500,219
4063700,650
4063800,583
4063900,341
4064101,175
4064102,133
4064500,179
4064600,252
4065000,221
4065400,605
4065501,16
4065600,513
4065702,199
4065703,246
4065900,110
4066000,890
4066100,69
4066300,109
4066400,344
4066501,180
4066701,186
4066900,184
4067100,141
4067700,194
4067900,413
4068000,374
4068200,261
4068300,3395
4068700,512
4069000,785
4069300,1173
4069400,341
4069500,164
4069701,340
4069702,191
4070300,295
4070700,147
4070900,195
4071100,226
4071303,524
4071304,608
4071305,160
4071306,421
4071600,1113
4071701,421
4071702,233
4071900,356
4072100,339
4072300,120
4072900,112
4073100,193
4073700,777
4073900,732
4074100,376
4074300,379
4074500,376
4074700,162
4074900,57
4075701,289
4075702,294
4076901,298
4076902,457
4077300,155
4077500,297
4077902,480
4077903,322
4077904,367
4077905,293
4077906,446
4077907,324
4077908,608
4078800,941
4079000,365
4079200,340
4079300,80
4079701,553
4079702,223
4079900,352
4080301,382
4080302,368
4080900,370
4081400,473
4081800,749
4083700,441
4083800,356
4084000,773
4084500,329
4084601,395
4084602,268
4084900,792
4085300,2337
4085500,316
4085700,405
4085900,306
4086100,202
4086300,445
4086400,65
4086500,947
4086900,1045
4087100,1203
4088400,977
4088901,480
4089200,407
4090700,391
4091601,124
4091602,36
4091800,7
4091900,598
4092200,111
4092500,575
4092800,147
4092900,448
4093401,247
4093402,760
4093800,456
4093900,367
4094201,1152
4094202,486
4094203,1196
4094500,838
4094700,560
4095400,1064
4096400,1379
4097202,57
4097203,101
4097204,1298
4097300,164
4098100,178
4098700,377
4099100,307
4099200,1119
4099701,123
4099703,206
4099704,311
4099705,162
4099801,1394
4099802,736
4099900,15
4100801,204
4100802,863
4101001,1460
4101002,288
4101700,323
4102900,363
4103201,2103
4103202,1238
4103300,215
4103900,499
4104700,448
4105900,129
4107201,349
4107202,16
4108500,261
4109300,212
4109700,362
4109900,184
4111300,92
4112300,514
4112900,144
4113300,143
4113900,389
4114100,227
4114700,122
4115100,50
4115500,196
4115700,256
4115900,235
4116100,661
4116300,504
4116700,312
4117100,396
4117500,304
4118100,275
4118500,387
4118700,164
4118900,137
4119100,271
4119300,123
4119500,62
4119900,111
4120100,93
4120300,146
4120500,174
4120700,94
4121100,26
4121500,440
4122300,359
4122701,714
4122702,1728
4124100,244
4124700,185
4125700,533
4126500,295
4126700,161
4127700,178
4128300,122
4129102,146
4129103,304
4129104,278
4130100,474
4133300,399
4133900,467
4134100,443
4134700,661
4136700,442
4137700,423
4138501,354
4138502,140
4139900,251
4140300,140
4140901,213
4140902,231
4141700,453
4142900,190
4143500,125
4144100,227
4144700,291
4145101,146
4145102,254
4145900,348
4146300,322
4146700,475
4147100,414
4147900,457
4148300,152
4150701,232
4150702,330
4152901,541
4152902,334
4155101,178
4155102,443
4156700,335
4157101,410
4157102,186
4157901,383
4157902,479
4157903,365
4161700,338
4162100,482
5000300,1803
5000600,515
5000700,1372
5000800,560
5000900,692
5001100,1022
5001700,478
5001800,105
5002001,296
5002002,361
5002100,908
5002700,1267
5002900,1930
5003300,573
5003600,366
5003900,270
5004000,2054
5004700,474
5005000,740
5005900,173
5006400,914
5006700,495
5007000,495
5007400,1094
5007500,538
5007700,791
5008100,607
5008900,71
5009601,730
5009602,811
5009700,422
5010500,794
5011201,745
5011202,1032
5011401,886
5011402,786
5012100,505
5012200,987
5012500,490
5012804,793
5012805,271
5012806,608
5013201,385
5013203,883
5013204,579
5013301,1575
5013302,669
5013400,1149
5013800,533
5014100,777
